Base ID:,National ID:,Unlic. ID:,Unl. Nat. ID:,Nationality:,,Deprecated nat.:,,Full real name:,Proposed in-game name:,Date of birth:,Soccerway:,Name in home country or alternative:,Real name in-game:,Real name in-game (japanese):,Real name in-game (chinese):,License status:,Adaptability:,Look-alike name:,Look-alike name (japansese):,Fake name:,Fake name (japanese),Fake name (chinese):,PES 2021:,PES 2020:,PES 2019:,PES 2018:,PES 2017:,PES 2016:,PES 2015:
1,131073,262145,393217,236,Spanish,‒,‒,Roberto Martínez Montoliú,,7/13/1973,110698,,R. MARTÍNEZ,ロベルト マルティネス,罗伯托·马丁内斯,TRUE,84,MAREZCA,マレスカ,L. PERAZA,ルイス ペラサ,,PES2021,PES2020,PES2019,PES2018,,PES2016,PES2015
2,131074,262146,393218,228,Portuguese,‒,‒,Jorge Fernando Pinheiro de Jesus,,7/24/1954,140283,,"JORGE JESUS
J. JESUS",ジョルジェ ジェズス,若热·热苏斯,TRUE,80,,,T. PICCHIA,チム ピッシア,蒂姆·皮希亚,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
3,131075,262147,393219,148,Colombian,‒,‒,Hernán Darío Gómez Jaramillo,H. D. GÓMEZ,2/3/1956,82714,,H. GÓMEZ,エルナン ゴメス,埃尔南·戈麦斯,TRUE,74,GIMAZO,ヒマソ,"L. CASAR
F. OLAZABAL
A. BARAS
E. DE CERVANTES","レオン カサル
フランシスコ オラサバル
アロンソ バラス
エステバン デ セルバンテス",莱昂·卡萨尔,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
4,131076,262148,393220,16,South Korean,‒,‒,Hwang Sun-hong,,7/14/1968,79919,황선홍,"SUN-HONG HWANG
HWANG SUN-HONG",ファン ソノン,,TRUE,,,,,,,,,,PES2018,,,PES2015
5,131077,262149,393221,16,South Korean,‒,‒,Choi Kang-hee,,4/12/1959,113242,최강희,CHOI KANG-HEE,チェ ガンヒ,,TRUE,,,,,,,,,,,,PES2016,PES2015
6,131078,262150,393222,215,Italian,‒,‒,Marcello Lippi,,4/11/1948,130167,,M. LIPPI,マルチェロ リッピ,,TRUE,82,,,"U. ETRO
G. ECO","ウーベルト エトロ
ジャンネット エーコ",,,,PES2019,PES2018,,,PES2015
7,131079,262151,393223,236,Spanish,‒,‒,Gregorio 'Goyo' Manzano Ballesteros,,3/11/1956,110791,,G. MANZANO,グレゴリオ マンサーノ,,TRUE,,,,,,,,,,,,PES2016,PES2015
8,131080,262152,393224,146,Brazilian,200,Croatian,Alexandre Torreira da Gama Lima Casado,,1/4/1968,281544,,"ALEXANDRE GAMA
A. GAMA","アレクサンデル ガマ
アレシャンドレ ガマ",亚历山大·伽马,TRUE,71,,,,,,PES2021,PES2020,PES2019,,,PES2016,PES2015
9,131081,262153,393225,16,South Korean,‒,‒,Cho Min-Kook,,7/5/1963,105591,조민국,CHO MIN-KOOK,チョ ミング,,TRUE,,,,,,,,,,,,,PES2015
10,131082,262154,393226,16,South Korean,‒,‒,Choi Yong-soo,,9/10/1973,222880,최용수,CHOI YONG-SOO,チェ ヨンス,,TRUE,,,,,,,,,,,,PES2016,PES2015
11,131083,262155,393227,7,Chinese,‒,‒,Zhu Jiong,,8/5/1973,123801,朱炯,ZHU JIONG,ジュ ジオン,,TRUE,,,,,,,,,,,,,PES2015
12,131084,262156,393228,146,Brazilian,‒,‒,Alexi 'Cuca' Stival,,6/7/1963,133093,,CUCA,クカ,,TRUE,77,,,"Z. NORONHA
E. UBAGO
J. ANTUNES","ゾリオン ノローニャ
エステファニオ ウバゴ
ジョアキム アントゥネス",佐里昂·诺罗尼亚,,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
13,131085,262157,393229,215,Italian,‒,‒,Giuseppe Giannini,G. GIANNINI,8/20/1964,105054,,,,,FALSE,,GIUCCHINI,ジュッキーニ,H. CALOSSO,ハーバート カロッソ,,,,,,,PES2016,PES2015
