ID:;Name:;Internal name:;Japanese name:;Fake:;Capacity:;Last appearance:
1;Giuseppe Meazza;GIUSEPPE_MEAZZA;ジュゼッペ・メアッツァ;;80018;eFootball
2;Historic Spotify Camp Nou Stadium;CAMP_NOU;ヒストリック Spotify カンプ・ノウ;;99354;eFootball
3;Estadio Santiago Bernabéu;BERNABEU;;;;PES 2020
4;Anfield;ANFIELD;アンフィールド;;54000;PES 2019
5;Wembley Stadium connected by EE;st005;ウェンブリー・スタジアム connected by EE;;90000;PES 2020
6;Stadio Olimpico (AS Roma);ESTADIO_OLIMPICO;スタディオ・オリンピコ (AS ローマ);;82307;eFootball
7;Old Trafford;st007;オールド・トラフォード;;75811;eFootball
8;Estádio da Luz;ESTADIO_DA_LUZ;ルス・スタジアム;;65000;PES 2014
9;Estádio do Dragão;DO_DRAGAO;;;;PES 2020
10;Estádio José Alvalade;ESTADIO_JOSE_ALVALAD;エスタディオ・ジョゼ・アルヴァラーデ;;50080;PES 2020
11;Allianz Arena;st011;アリアンツ・アレナ;;66000;eFootball
12;Stade de France;STADE_DE_FRANCE;スタッド・ド・フランス;;81338;PES 2016
13;Metropole Arena;ROYAL_LONDON_STADIUM;メトロポール・アレナ;✔;89000;PES 2020
14;MorumBIS;st014;エスタジオ・シーセロ・ポンペウ・ヂ・トレド;;73501;eFootball
15;Estádio do Escorpião;ESTADIO_DO_ESCORPIAO;エスタディオ・エスコルピオ;✔;87538;PES 2020
16;Estádio Urbano Caldeira;ESTADIO_URBANO_CALDE;エスタディオ・ウルバーノ・カルデイラ;;16798;eFootball
17;Estadio del Nuevo Triunfo;ESTADIO_DEL_NUEVO_TR;エスタディオ・ヌエボ・トリウンフォ;✔;37279;PES 2020
18;Stade de Sagittaire;STADE_DE_SAGITTAIRE;スタッド・ド・サジテール;✔;41000;PES 2020
19;Stadio Orione;STUDIO_ORIONE;スタジオ・オリオン;✔;32160;PES 2020
20;Burg Stadion;BURG_STADION;ブルク・スタディオン;✔;59000;eFootball
21;Club House;CLUB_HOUSE;;✔;;PES 2020
22;Allianz Stadium;st022;アリアンツ・スタジアム;;41000;PES 2020
23;Saitama Stadium 2○○2;SAITAMA_STADIUM_2002;埼玉スタジアム２○○２;;63700;eFootball
24;Estádio do Maracanã;ESTADIO_DO_MARACANA;エスタディオ・ド・マラカナン;;88992;eFootball
25;King Fahd International Stadium;KING_FAHD_INTERNATIO;キング・ファハド・インターナショナルスタジアム;;67000;PES 2014
26;Prince Abdullah al Faisal Stadium;PRINCE_ABDULLAH_AL_F;プリンス・アブドゥッラー・アル・ファイサル・スタジアム;;20000;PES 2014
27;Mâs Monumental;EL_MONUMENTAL;マス・モヌメンタル;;65645;eFootball
28;Alberto J. Armando | La Bombonera;LA_BOMBONERA;エスタディオ・アルベルト・J・アルマンド | ラ・ボンボネーラ;;49000;eFootball
29;eFootball™ Stadium;KONAMI_STADIUM;コナミ・スタジアム;✔;78000;PES 2020
30;San Siro;SAN_SIRO;サン・シーロ;;80018;eFootball
31;Fußball Arena München;FUSSBALL_ARENA_MUENC;フスバル・アレナ・ミュンヘン;*;66000;PES 2020
32;NATIONAL STADIUM;KOKURITSU_KYOGIJO;国立競技場;*;50339;WE 2014
33;Allianz Parque;st033;アリアンツ・パルケ;;43713;PES 2020
34;Estádio Mineirão;MINEIRAO;エスタディオ・ミネイロン;;62547;PES 2020
35;Neo Química Arena;ARENA_DE_SAO_PAULO;ネオ・キミカ・アレナ;;68000;eFootball
36;Estádio Beira-Rio;ESTADIO_BEIRA_RIO;エスタジオ・ベイラ＝リオ;;61000;eFootball
37;Temporary Stadium 00;;仮設スタジアム00;✔;0;eFootball
37;Stadio Artemio Franchi;ARTEMIO_FRANCHI;;;;PES 2020
38;Olympiastadion Berlin;OLYMPIASTADION_BERLI;ベルリン・オリンピアシュタディオン;;76243;PES 2015
39;National Stadium in Warsaw;STADION_NARODOWY;ワルシャワ国立競技場;;58145;PES 2015
40;Estadio del Martingal;ESTADIO_AMAZONAS;エスタディオ・デル・マルタンガル;✔;32150;PES 2020
41;Stade Louis II;STADE_LOUIS_2;スタッド・ルイ・ドゥ;;18523;PES 2020
42;Rose Park Stadium;ROSE_PARK_STADIUM;ローズ・パーク・スタジアム;✔;35362;eFootball
43;Estadio Campeones;ORIGINAL_43;エスタディオ・カンペオン;✔;52000;PES 2020
44;Coliseo de los Deportes;TEMP_44;コロッセオ・デ・ロス・デポルス;✔;20000;PES 2020
45;Sports Park;TEMP_45;スポーツ・パーク;✔;6000;PES 2020
46;Neu Sonne Arena;ORIGINAL_46;ノイ・ゾネ・アレナ;✔;41000;PES 2020
47;Village Road;TEMP_47;ヴィレッジ・ロード;✔;25240;PES 2020
48;Unknown;st048;;UNK;;PES 2020
49;St. Jakob-Park;ST_JAKOB_PARK;ザンクト・ヤコブ・パルク;;38512;PES 2020
50;Hoofdstad Stadion;ORIGINAL_50;ホーフドスタッドゥ・スタディオン;✔;55000;PES 2020
51;Signal Iduna Park;st051;ジグナル・イドゥナ・パルク;;65614;PES 2018
52;Emirates Stadium;EMIRATES;エミレーツ・スタジアム;;60432;eFootball
54;Stadio Nazionale;st054;ナショナル・スタジアム;✔;70520;PES 2020
55;Estadio del Tauro;st055;エスタディオ・タウロ;✔;69500;PES 2020
56;Wanda Metropolitano;st056;ワンダ・メトロポリターノ;;72000;PES 2018
57;The Ultimate Stage;st057;アルティメット・ステージ;;100000;PES 2018
58;For production;;演出用;✔;0;eFootball
59;Estádio São Januário;st059;エスタディオ・サン・ジャヌアリオ;;21880;PES 2020
60;eFootball™ Stadium;st060;eFootball™ スタジアム;✔;78000;eFootball
61;Estadio Nacional de Chile;st061;エスタディオ・ナシオナル・デ・チリ;;49000;PES 2019
62;Estadio Monumental de Colo-Colo;st062;エスタディオ・モヌメンタル・デ・コロコロ;;47347;eFootball
63;VELTINS-Arena;st063;フェルティンス・アレーナ;;54740;PES 2020
64;Celtic Park;st064;セルティック・パーク;;60832;PES 2020
65;Ibrox Stadium;st065;アイブロックス・スタジアム;;50817;PES 2020
66;Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi;st066;シュクリュ・サラジオウル・スタジアム;;50509;PES 2020
69;For production;CARD_PACK;演出用;;0;PES 2020
70;Johan Cruijff ArenA;st070;ヨハン・クライフ・アレナ;;54033;PES 2020
