ID:;HEX ID:;Team name:;Primary:;Secondary:;Current:;Deprecated:;Competition:;Country:;Note:
0;00 00;Dummy;;;;;System teams;;
1;01 00;Ireland;#009964;#f47922;✓;;National teams;Europe;
2;02 00;Northern Ireland;#008001;#ffffff;✓;;National teams;Europe;
3;03 00;Scotland;#006cb7;#ffffff;✓;;National teams;Europe;
4;04 00;Wales;#de2a30;#349459;✓;;National teams;Europe;
5;05 00;England;#ffffff;#cc0000;✓;;National teams;Europe;
6;06 00;Portugal;#b00911;#1f714d;✓;;National teams;Europe;
7;07 00;Spain;#c90001;#ffea00;✓;;National teams;Europe;
8;08 00;France;#154a76;#ffffff;✓;;National teams;Europe;
9;09 00;Belgium;#e60003;#ffd402;✓;;National teams;Europe;
10;0a 00;Netherlands;#fe5901;#ffffff;✓;;National teams;Europe;
11;0b 00;Switzerland;#ee1c25;#ffffff;✓;;National teams;Europe;
12;0c 00;Italy;#085ca0;#ffffff;✓;;National teams;Europe;
13;0d 00;Czechia;#d60029;#004a84;✓;;National teams;Europe;
14;0e 00;Germany;#ffffff;#000000;✓;;National teams;Europe;
15;0f 00;Denmark;#e60003;#ffffff;✓;;National teams;Europe;
16;10 00;Norway;#ee1c25;#272b67;✓;;National teams;Europe;
17;11 00;Sweden;#ffd402;#0069a6;✓;;National teams;Europe;
18;12 00;Finland;#ffffff;#003580;✓;;National teams;Europe;
19;13 00;Poland;#ee1c25;#ffffff;✓;;National teams;Europe;
20;14 00;Slovakia;#ffffff;#004da0;✓;;National teams;Europe;
21;15 00;Austria;#e60003;#ffffff;✓;;National teams;Europe;
22;16 00;Hungary;#e60003;#008349;✓;;National teams;Europe;
23;17 00;Slovenia;#ffffff;#214625;✓;;National teams;Europe;
24;18 00;Croatia;#e60003;#ffffff;✓;;National teams;Europe;
25;19 00;Serbia and Montenegro D;;;;✗;National teams;Europe;
26;1a 00;Romania;#ffdd00;#ee1c25;✓;;National teams;Europe;
27;1b 00;Bulgaria;#009b71;#e60003;✓;;National teams;Europe;
28;1c 00;Greece;#ffffff;#023d7f;✓;;National teams;Europe;
29;1d 00;Turkey;#ed0b1f;#ffffff;✓;;National teams;Europe;
30;1e 00;Ukraine;#ffe700;#005bab;✓;;National teams;Europe;
31;1f 00;Russia;#ee1c25;#006cb7;✓;;National teams;Europe;
32;20 00;Morocco;#30a980;#ed1b24;✓;;National teams;Africa;
33;21 00;Tunisia;#e0001a;#ffffff;✓;;National teams;Africa;
34;22 00;Egypt;#e41e26;#000000;✓;;National teams;Africa;
35;23 00;Nigeria;#1e8449;#ffffff;✓;;National teams;Africa;
36;24 00;Cameroon;#2e8c40;#ed1b24;✓;;National teams;Africa;
37;25 00;South Africa;#ffd907;#1e9e41;✓;;National teams;Africa;
38;26 00;Senegal;#1c6924;#ffff00;✓;;National teams;Africa;
39;27 00;United States of America;#ffffff;#212844;✓;;National teams;North, Central America and Caribbean;
40;28 00;Mexico;#11a754;#f43e2c;✓;;National teams;North, Central America and Caribbean;
41;29 00;Jamaica;#fed100;#009b3a;✓;;National teams;North, Central America and Caribbean;
42;2a 00;Costa Rica;#d0181c;#054e8c;✓;;National teams;North, Central America and Caribbean;
43;2b 00;Honduras;#ffffff;#005ca1;✓;;National teams;North, Central America and Caribbean;
44;2c 00;Colombia;#ffc325;#10125f;✓;;National teams;South America;
45;2d 00;Brazil;#caa91d;#1a751a;✓;;National teams;South America;
46;2e 00;Peru;#ffffff;#ca1321;✓;;National teams;South America;
47;2f 00;Chile;#e30613;#005192;✓;;National teams;South America;
48;30 00;Paraguay;#e30613;#ffffff;✓;;National teams;South America;
