Id;Name;Id Club;Club;Id National;National
557;PARK JI-SUNG;0;;0;
729;R. KEANE;0;;0;
793;R. GIGGS;0;;0;
811;G. BARRY;0;;0;
815;D. BECKHAM;0;;0;
816;P. SCHOLES;0;;0;
818;A. COLE;0;;0;
822;S. GERRARD;0;;0;
840;L. FIGO;0;;0;
857;GUARDIOLA;0;;0;
865;PUYOL;0;;0;
872;MORIENTES;0;;0;
877;B. LIZARAZU;0;;0;
879;E. PETIT;0;;0;
880;P. VIEIRA;0;;0;
926;P. KLUIVERT;0;;0;
963;P. MALDINI;0;;0;
970;F. TOTTI;0;;0;
972;F. INZAGHI;0;;0;
983;G. BUFFON;120;JUVENTUS;0;
990;P. NEDVĚD;0;;0;
1001;T. ROSICKÝ;0;;0;
1006;O. KAHN;0;;0;
1352;E. BELÖZOĞLU;0;;0;
1624;R. CARLOS;0;;0;
1625;CAFU;0;;0;
1628;RIVALDO;0;;0;
1630;ROMÁRIO;0;;0;
1631;RONALDINHO G.;0;;0;
1664;L. BUTRÓN;0;;0;
1674;M. SALAS;0;;0;
1675;I. ZAMORANO;0;;0;
1741;G. BATISTUTA;0;;0;
1754;H. NAKATA;0;;0;
1881;IRWIN;0;;0;
1882;D. YORKE;0;;0;
1892;D. BERGKAMP;0;;0;
1948;F. LAMPARD;0;;0;
1951;S. GIVEN;0;;0;
2089;R. VAN DER VAART;0;;0;
2138;A. PIRLO;0;;0;
2232;ÉLBER;0;;0;
2329;S. CAMPBELL;0;;0;
2331;L. MATTHÄUS;0;;0;
2380;F. RIJKAARD;0;;0;
2387;M. VAN BASTEN;0;;0;
2388;R. GULLIT;0;;0;
2397;J. CRUIJFF;0;;0;
2404;F. BECKENBAUER;0;;0;
2405;K. RUMMENIGGE;0;;0;
2430;ZICO;0;;0;
2453;D. MARADONA;0;;0;
2489;E. KAWASHIMA;4213;STRASBOURG;52;JAPAN
2506;PEPE REINA;122;LAZIO;0;
2520;A. D'ALESSANDRO;1252;INTERNACIONAL;0;
2586;Z. IBRAHIMOVIĆ;121;MILANO RN;17;SWEDEN
2826;P. GASCOIGNE;0;;0;
2827;B. ROBSON;0;;0;
2841;D. LAW;0;;0;
2951;S. CAMARA;0;;0;
3200;C. KAMENI;0;;36;CAMEROON
3222;M. STEKELENBURG;116;AJAX;0;
3239;BEBETO;0;;0;
3272;W. CABALLERO;102;CHELSEA B;0;
3497;D. FORLÁN;0;;0;
3522;J. DEFOE;132;RANGERS;0;
3650;P. POGREBNYAK;5201;URAL;0;
3673;G. LUX;138;RIVER PLATE;0;
3684;J. GANDOLFI;0;;0;
3690;M. LÓPEZ;0;;0;
3712;C. TEVEZ;139;BOCA JUNIORS;0;
3726;J. HERRERA;0;;0;
3741;JOAQUÍN;194;SEVILLA TRIANA VB;0;
3757;GILBERTO SILVA;0;;0;
3997;A. ROBBEN;244;GRONINGEN;0;
4039;FÁBIO;274;CRUZEIRO;0;
4152;W. ROONEY;0;;0;
4193;F. COLOCCINI;1243;SAN LORENZO;0;
4251;XABI ALONSO;0;;0;
4294;F. BALMONT;0;;0;
4325;C. TERZI;1600;SPEZIA;0;
4412;FELIPE;0;;0;
4499;RICARDO COSTA;0;;0;
4502;DECO;0;;0;
4522;CRISTIANO RONALDO;120;JUVENTUS;6;PORTUGAL
4526;RICARDO QUARESMA;1804;VITÓRIA GUIMARÃES;0;
4541;O. DESCHACHT;2019;ZULTE-WAREGEM;0;
4655;B. CESAR;0;;0;
4747;L. GONZÁLEZ;1930;ATHLETICO PARANAENSE;0;
4801;ZHENG ZHI;310;GUANGZHOU EVERGRANDE;0;
4882;J. MILNER;103;LIVERPOOL R;0;
4920;R. ZWINKELS;243;ADO DEN HAAG;0;
4922;O. MARTINS;4095;WUHAN ZALL;0;
4928;A. ROSINA;0;;0;
4949;A. MCGREGOR;132;RANGERS;0;
4995;N. ALEXANDER;1220;DUNDEE UNITED;0;
5069;M. PINILLA;0;;0;
5106;J. FARFÁN;2287;ALIANZA LIMA;0;
5408;G. CLICHY;1958;SERVETTE;0;
5428;A. MIRANTE;125;ROMA;0;
5430;A. LENNON;1996;KAYSERİSPOR;0;
5434;G. WHELAN;0;;1;IRELAND
5518;ALBIOL;267;VILLARREAL A;7;SPAIN
5538;J. PINOLA;138;RIVER PLATE;0;
5584;N. MÄENPÄÄ;4229;VENEZIA;0;
5603;D. GASTALDELLO;0;;0;
5676;JOÃO PEREIRA;193;SPORTING CP;0;
5770;V. KOMPANY;0;;0;
5778;I. AKINFEEV;1217;CSKA MOSKVA;0;
5786;A. ARSHAVIN;0;;0;
5922;ZHOU TING;0;;0;
6111;A. KONÉ;1809;SİVASSPOR;0;
6259;R. BABEL;130;GALATASARAY;10;NETHERLANDS
6265;I. AFELLAY;0;;0;
6317;É. BARRETO;0;;0;
6330;MANUEL FERNANDES;1996;KAYSERİSPOR;0;
6334;D. BENAGLIO;0;;0;
6526;L. PODOLSKI;1989;ANTALYASPOR;0;
6593;S. FARELLI;125;ROMA;0;
6657;G. PAZZINI;0;;0;
6693;G. PANDEV;323;GENOA;1180;NORTH MACEDONIA
6736;V. BOZHINOV;0;;0;
6864;AHMED FATHY;0;;34;EGYPT
6906;ZHAO XURI;4092;DALIAN PRO;0;
7030;M. SILVESTRE;5193;ROYAL EXCEL MOUSCRON;0;
7038;P. ÁLVAREZ;0;;0;
7045;N. CARDOZO;0;;0;
7056;J. MASCHERANO;0;;0;
7069;GOMES;0;;0;
7104;ROBINHO;0;;0;
7181;S. DOWNING;176;BLACKBURN BW;0;
7255;M. RODRÍGUEZ;1241;NEWELL'S OLD BOYS;0;
7312;DANI ALVES;1255;SÃO PAULO;45;BRAZIL
7327;NAVAS;265;SEVILLA NERVIÓN BR;0;
7329;SERGIO RAMOS;109;MADRID CHAMARTIN B;7;SPAIN
7435;L. PONZIO;138;RIVER PLATE;0;
7474;NENÊ;1249;FLUMINENSE;0;
7484;RAMIS;0;;0;
7506;JOSÉ JURADO;0;;0;
7507;JUANFRAN;1255;SÃO PAULO;0;
7511;L. MESSI;108;FC BARCELONA;50;ARGENTINA
7642;HILTON;215;MONTPELLIER;0;
7736;N. PENNETEAU;2010;SPORTING CHARLEROI;0;
7781;Y. PELÉ;113;OLYMPIQUE MARSEILLE;0;
7782;M. BODMER;0;;0;
7814;DANTE;217;NICE;0;
7817;J. MATHIEU;0;;0;
7840;S. DARBION;0;;0;
7878;J. BRIAND;115;BORDEAUX;0;
7880;M. DEBUCHY;418;SAINT-ÉTIENNE;0;
7889;C. KEŞERÜ;0;;26;ROMANIA
7927;D. PRATLEY;0;;0;
7941;S. CARSON;173;MANCHESTER B;0;
7946;S. DAVIS;132;RANGERS;2;NORTHERN IRELAND
7959;FÀBREGAS;112;MONACO;0;
8013;RICARDO VAZ TÊ;2369;PORTIMONENSE;0;
8076;A. VANDEN BORRE;0;;0;
8165;G. RODRÍGUEZ;0;;0;
8310;JAVI FUEGO;363;GIJÓN RB;0;
8408;A. MCGEADY;0;;0;
8421;K. HUNTELAAR;184;SCHALKE 04;0;
8574;H. LLORIS;179;TOTTENHAM WB;8;FRANCE
8637;A. ANYUKOV;0;;0;
8639;PIQUÉ;108;FC BARCELONA;0;
8662;B. COSTIL;115;BORDEAUX;0;
8665;V. PLANTÉ;4973;CHAMBLY;0;
8701;L. PERRIN;0;;0;
8757;B. WATSON;0;;0;
8760;W. ROUTLEDGE;1909;SWANSEA W;0;
8823;P. GUERRERO;1252;INTERNACIONAL;46;PERU
8843;J. PITROIPA;0;;0;
8851;G. CHIELLINI;120;JUVENTUS;12;ITALY
8878;C. MAGGIO;4237;LECCE;0;
8921;RUBÉN CASTRO;4309;CARTAGENA NB;0;
8940;H. BEN ARFA;115;BORDEAUX;0;
8944;K. BENZEMA;109;MADRID CHAMARTIN B;0;
8946;S. NASRI;0;;0;
8957;A. CERCI;0;;0;
